id,universidad,carrera,area_academica,modalidad,semestres,fecha_oferta,ciudad
1067,Tecnologica Del Valle,lic. en psicologia,derecho,presencial,8,2024-09-03,Etla
1068,Centro De Estudios,tec en mecanica,salud,semi presencial,8,2024-09-16,Pochutla
1069,Instituto Tecnologico,ingenieria en sistemas computacionales,economia,virtual,10,2024-06-18,Ixtlan
1070,Escuela Normal,ingenieria civil,salud,virtual,8,2024-04-26,Salina Cruz
1071,Escuela Normal,lic. en economia,educacion,presencial,6,2024-06-19,Lachixio
1072,Conalep,lic. en psicologia,artes,presencial,10,2024-06-28,Huajuapan
1073,Ies Oaxaca,tec. en informatica,derecho,presencial,6,2024-11-12,Huajuapan
1074,Cecyte,tec. en electronica,tecnologia,virtual,8,2024-03-02,Xoxocotlan
1075,Uabjo,ingenieria civil,tecnologia,presencial,6,2024-08-06,Pochutla
1076,Conalep,lic en enfermeria,artes,presencial,6,2024-09-27,Ixtlan
1077,Ujat,ingenieria en sistemas computacionales,economia,virtual,8,2024-07-01,Salina Cruz
1078,Univers. Autonoma,lic. en comunicacion,economia,virtual,8,2024-05-20,Etla
1079,Ies Oaxaca,tec. en informatica,ciencias sociales,virtual,10,2024-09-21,Lachixio
1080,Ies Oaxaca,lic. en turismo,derecho,semi presencial,8,2024-02-02,Etla
1081,Univers. Autonoma,lic. en turismo,derecho,semi presencial,10,2024-09-22,Huajuapan
1082,Instituto Superior,tec en mecanica,educacion,virtual,10,2024-11-10,Huajuapan
1083,Instituto Superior,lic. en biologia,educacion,semi presencial,8,2024-04-11,Pochutla
1084,Univers. Autonoma,tec. en informatica,economia,semi presencial,10,2024-04-22,Tlacolula
1085,Instituto Tecnologico,lic. en filosofia,ingenieria,semi presencial,10,2024-03-24,Lachixio
1086,Instituto Tecnologico,lic. en comunicacion,tecnologia,presencial,8,2024-08-22,Tlacolula
1087,Cecyte,lic. en derecho,tecnologia,virtual,10,2024-01-22,Ixtlan
1088,Tecnologica Del Valle,lic. en psicologia,educacion,semi presencial,10,2024-02-26,juarez
1089,Centro De Estudios,tec. en electronica,derecho,presencial,8,2024-07-20,Tlacolula
1090,Escuela Normal,lic. en turismo,ingenieria,presencial,10,2024-06-17,Xoxocotlan
1091,Centro De Estudios,lic en enfermeria,ingenieria,semi presencial,8,2024-01-26,Etla
1092,Colegio De Bachilleres,ingenieria electronica,ingenieria,presencial,8,2024-04-03,Pochutla
1093,Ujat,ingenieria en sistemas computacionales,salud,virtual,6,2024-01-18,Huajuapan
1094,Tebacsso,lic en enfermeria,derecho,presencial,8,2024-10-24,Tlacolula
1095,Conalep,tec. en informatica,artes,presencial,8,2024-10-01,oaxaca capital
1096,Tecnologica Del Valle,contabilidad,administracion,semi presencial,6,2024-06-06,Huajuapan
1097,Tebacsso,lic. en economia,salud,semi presencial,8,2024-12-02,Etla
1098,Ujat,lic. en biologia,ingenieria,presencial,6,2024-03-09,Lachixio
1099,Univers. Autonoma,contabilidad,artes,semi presencial,6,2024-12-21,Xoxocotlan
1100,Instituto Superior,ingenieria civil,derecho,presencial,8,2024-04-18,oaxaca capital
1101,Univers. Autonoma,lic. en derecho,humanidades,virtual,6,2024-08-31,juarez
1102,Cecyte,ingenieria electronica,salud,presencial,6,2024-11-26,juarez
1103,Conalep,tec. en electronica,derecho,presencial,8,2024-11-07,oaxaca capital
1104,Colegio De Bachilleres,lic. en economia,educacion,virtual,6,2024-10-25,Salina Cruz
1105,Tecnologica Del Valle,lic. en derecho,ingenieria,semi presencial,10,2024-07-12,juarez
1106,Instituto Superior,administracion de empresas,tecnologia,presencial,8,2024-07-17,Xoxocotlan
1107,Cecyte,lic. en economia,administracion,presencial,8,2024-07-07,juarez
1108,Ies Oaxaca,lic. en educacion,ciencias sociales,presencial,8,2024-08-12,juarez
1109,Univers. Autonoma,ingenieria electronica,ingenieria,virtual,8,2024-08-10,Salina Cruz
1110,Univers. Autonoma,diseño grafico,artes,semi presencial,8,2024-04-27,Etla
1111,Ujat,ingenieria civil,educacion,presencial,8,2024-02-27,Ixtlan
1112,Ies Oaxaca,ingenieria civil,administracion,semi presencial,6,2024-12-25,Huajuapan
1113,Colegio De Bachilleres,tec. en informatica,economia,semi presencial,10,2024-09-21,Tlacolula
1114,Instituto Tecnologico,lic en enfermeria,artes,presencial,8,2024-05-01,Lachixio
1115,Instituto Tecnologico,lic. en educacion,educacion,presencial,10,2024-12-07,Salina Cruz
1116,Colegio De Bachilleres,tec. en informatica,artes,semi presencial,6,2024-04-18,juarez
1117,Conalep,ingenieria electronica,humanidades,presencial,10,2024-03-09,Ixtlan
1118,Instituto Tecnologico,ingenieria electronica,salud,semi presencial,6,2024-12-07,Tlacolula
1119,Centro De Estudios,lic. en economia,tecnologia,presencial,10,2024-11-06,Salina Cruz
1120,Tebacsso,lic. en educacion,economia,virtual,10,2024-08-29,Etla
1121,Cecyte,lic. en comunicacion,administracion,semi presencial,10,2024-01-31,Salina Cruz
1122,Colegio De Bachilleres,contabilidad,artes,semi presencial,8,2024-05-10,Pochutla
1123,Colegio De Bachilleres,tec. en informatica,administracion,virtual,10,2024-01-25,Salina Cruz
1124,Centro De Estudios,tec. en electronica,derecho,semi presencial,10,2024-02-19,Huajuapan
1125,Cecyte,tec. en electronica,derecho,presencial,10,2024-07-18,Xoxocotlan
1126,Ies Oaxaca,tec. en informatica,ingenieria,virtual,10,2024-04-27,Tlacolula
1127,Instituto Superior,lic. en economia,ciencias sociales,presencial,8,2024-01-28,Xoxocotlan
1128,Uabjo,lic. en educacion,tecnologia,virtual,10,2024-07-31,Lachixio
1129,Uabjo,lic. en turismo,ingenieria,virtual,10,2024-08-29,Pochutla
1130,Colegio De Bachilleres,tec. en electronica,derecho,virtual,6,2024-10-13,Tlacolula
1131,Cecyte,tec en mecanica,artes,presencial,6,2024-11-30,Tlacolula
1132,Escuela Normal,lic en enfermeria,tecnologia,semi presencial,10,2024-10-25,Xoxocotlan
1133,Tecnologica Del Valle,ingenieria civil,artes,presencial,6,2024-12-20,Huajuapan
1134,Tecnologica Del Valle,lic. en derecho,administracion,presencial,8,2024-07-21,Huajuapan
1135,Tebacsso,lic. en derecho,administracion,virtual,6,2024-07-25,Tlacolula
1136,Centro De Estudios,diseño grafico,economia,virtual,6,2024-03-04,Tlacolula
1137,Colegio De Bachilleres,diseño grafico,salud,semi presencial,10,2024-07-15,Salina Cruz
1138,Ies Oaxaca,lic. en educacion,ciencias sociales,presencial,10,2024-12-22,Tlacolula
1139,Tebacsso,lic. en educacion,tecnologia,presencial,6,2024-11-21,oaxaca capital
1140,Univers. Autonoma,tec. en informatica,ciencias sociales,virtual,10,2024-02-22,Salina Cruz
1141,Ujat,lic. en economia,ciencias sociales,virtual,8,2024-09-05,Huajuapan
1142,Tebacsso,administracion de empresas,tecnologia,presencial,6,2024-08-25,Xoxocotlan
1143,Ies Oaxaca,ingenieria civil,administracion,virtual,10,2024-04-05,Ixtlan
1144,Tebacsso,lic. en filosofia,salud,presencial,10,2024-04-29,Ixtlan
1145,Cecyte,lic. en psicologia,administracion,virtual,6,2024-11-12,juarez
1146,Cecyte,lic. en turismo,economia,virtual,10,2024-03-12,Xoxocotlan
1147,Tebacsso,tec. en electronica,administracion,virtual,10,2024-03-07,oaxaca capital
1148,Conalep,tec. en electronica,tecnologia,presencial,8,2024-05-23,Etla
1149,Tebacsso,ingenieria electronica,ciencias sociales,presencial,6,2024-08-24,Xoxocotlan
1150,Instituto Tecnologico,lic. en biologia,economia,virtual,6,2024-02-26,Salina Cruz
1151,Instituto Superior,ingenieria en sistemas computacionales,economia,virtual,10,2024-04-01,juarez
1152,Instituto Tecnologico,lic. en educacion,tecnologia,virtual,8,2024-09-28,Etla
1153,Tebacsso,ingenieria electronica,ingenieria,semi presencial,10,2024-02-26,Huajuapan
1154,Tecnologica Del Valle,lic. en biologia,administracion,semi presencial,6,2024-12-07,juarez
1155,Uabjo,administracion de empresas,ciencias sociales,presencial,10,2024-11-28,Lachixio
1156,Colegio De Bachilleres,administracion de empresas,humanidades,virtual,10,2024-11-26,Ixtlan
1157,Univers. Autonoma,tec. en informatica,humanidades,virtual,6,2024-09-04,Lachixio
1158,Centro De Estudios,lic en enfermeria,derecho,virtual,10,2024-01-09,Lachixio
1159,Conalep,administracion de empresas,tecnologia,virtual,6,2024-07-16,Huajuapan
1160,Escuela Normal,lic. en biologia,economia,virtual,10,2024-08-27,Tlacolula
1161,Tecnologica Del Valle,tec. en electronica,derecho,virtual,10,2024-01-03,Lachixio
1162,Colegio De Bachilleres,ingenieria civil,educacion,presencial,8,2024-07-12,Etla
1163,Conalep,lic. en comunicacion,administracion,semi presencial,10,2024-11-07,Tlacolula
1164,Univers. Autonoma,lic. en biologia,ingenieria,presencial,8,2024-06-11,Lachixio
1165,Colegio De Bachilleres,tec en mecanica,salud,virtual,8,2024-09-07,Huajuapan
1166,Conalep,lic. en turismo,humanidades,presencial,8,2024-06-25,Etla
1167,Instituto Tecnologico,diseño grafico,ingenieria,semi presencial,8,2024-09-20,oaxaca capital
1168,Cecyte,diseño grafico,artes,semi presencial,6,2024-12-27,oaxaca capital
1169,Ies Oaxaca,lic. en filosofia,salud,presencial,8,2024-01-10,Salina Cruz
1170,Uabjo,lic. en psicologia,ciencias sociales,semi presencial,6,2024-01-28,Etla
1171,Univers. Autonoma,lic. en filosofia,artes,virtual,8,2024-08-19,oaxaca capital
1172,Escuela Normal,tec. en informatica,ciencias sociales,presencial,10,2024-06-12,Ixtlan
1173,Centro De Estudios,contabilidad,artes,presencial,10,2024-01-27,Etla
1174,Tebacsso,lic. en educacion,tecnologia,semi presencial,8,2024-10-19,Salina Cruz
1175,Tebacsso,tec en mecanica,derecho,presencial,10,2024-01-27,Pochutla
1176,Conalep,ingenieria en sistemas computacionales,derecho,virtual,6,2024-08-24,juarez
1177,Cecyte,lic. en derecho,tecnologia,semi presencial,6,2024-05-09,Etla
1178,Univers. Autonoma,lic. en turismo,ciencias sociales,virtual,6,2024-12-29,Xoxocotlan
1179,Ies Oaxaca,lic. en filosofia,administracion,semi presencial,6,2024-09-08,oaxaca capital
1180,Escuela Normal,lic. en economia,derecho,virtual,6,2024-03-05,Ixtlan
1181,Ujat,lic. en educacion,salud,virtual,8,2024-07-31,Salina Cruz
1182,Uabjo,ingenieria civil,educacion,semi presencial,8,2024-09-12,Lachixio
1183,Cecyte,ingenieria civil,humanidades,virtual,8,2024-08-09,juarez
1184,Ies Oaxaca,lic. en biologia,derecho,presencial,10,2024-02-03,Huajuapan
1185,Uabjo,administracion de empresas,tecnologia,virtual,10,2024-07-12,Salina Cruz
1186,Instituto Superior,lic en enfermeria,ingenieria,semi presencial,10,2024-01-12,Ixtlan
1187,Instituto Tecnologico,lic en enfermeria,ciencias sociales,presencial,8,2024-08-17,juarez
1188,Instituto Tecnologico,ingenieria civil,administracion,semi presencial,6,2024-04-16,Tlacolula
1189,Cecyte,lic. en economia,ingenieria,virtual,6,2024-12-02,Lachixio
1190,Tebacsso,lic en enfermeria,ingenieria,semi presencial,6,2024-02-16,Tlacolula
1191,Instituto Superior,administracion de empresas,derecho,presencial,6,2024-01-11,juarez
1192,Ujat,lic en enfermeria,salud,presencial,6,2024-10-02,Ixtlan
1193,Conalep,lic. en derecho,tecnologia,virtual,10,2024-09-16,Huajuapan
1194,Escuela Normal,lic en enfermeria,tecnologia,semi presencial,10,2024-04-30,Lachixio
1195,Univers. Autonoma,contabilidad,economia,semi presencial,8,2024-09-09,oaxaca capital
1196,Tecnologica Del Valle,ingenieria en sistemas computacionales,administracion,presencial,6,2024-10-12,Etla
1197,Conalep,ingenieria en sistemas computacionales,economia,virtual,6,2024-04-02,Lachixio
1198,Instituto Superior,ingenieria civil,salud,virtual,6,2024-01-16,Lachixio
1199,Instituto Superior,ingenieria en sistemas computacionales,derecho,virtual,10,2024-07-03,Salina Cruz
1200,Univers. Autonoma,tec. en electronica,derecho,presencial,8,2024-05-31,Huajuapan
1201,Tebacsso,lic en enfermeria,derecho,presencial,8,2024-01-02,Lachixio
1202,Ies Oaxaca,lic. en comunicacion,salud,presencial,10,2024-01-25,oaxaca capital
1203,Instituto Tecnologico,tec. en electronica,administracion,semi presencial,8,2024-01-02,juarez
1204,Ujat,ingenieria electronica,economia,presencial,10,2024-02-13,oaxaca capital
1205,Uabjo,lic. en educacion,derecho,semi presencial,8,2024-05-21,oaxaca capital
1206,Colegio De Bachilleres,lic. en comunicacion,artes,semi presencial,10,2024-12-05,Lachixio
1207,Univers. Autonoma,ingenieria en sistemas computacionales,tecnologia,presencial,6,2024-01-17,Salina Cruz
1208,Escuela Normal,lic. en comunicacion,economia,virtual,6,2024-09-29,Etla
1209,Tecnologica Del Valle,lic. en turismo,educacion,virtual,6,2024-03-29,Pochutla
1210,Centro De Estudios,lic. en derecho,economia,presencial,10,2024-06-14,Etla
1211,Centro De Estudios,lic. en educacion,humanidades,presencial,8,2024-03-19,Huajuapan
1212,Conalep,ingenieria electronica,derecho,semi presencial,10,2024-07-23,Etla
1213,Escuela Normal,lic. en derecho,administracion,presencial,6,2024-08-29,Salina Cruz
1214,Instituto Tecnologico,lic. en turismo,ciencias sociales,semi presencial,8,2024-01-15,Pochutla
1215,Centro De Estudios,diseño grafico,educacion,semi presencial,6,2024-02-11,Pochutla
1216,Instituto Tecnologico,tec. en electronica,derecho,presencial,10,2024-08-28,Xoxocotlan
1217,Instituto Superior,contabilidad,educacion,semi presencial,8,2024-10-03,juarez
1218,Univers. Autonoma,lic. en educacion,administracion,virtual,10,2024-06-24,Etla
1219,Tebacsso,contabilidad,derecho,presencial,6,2024-06-17,juarez
1220,Escuela Normal,ingenieria en sistemas computacionales,artes,semi presencial,8,2024-06-13,oaxaca capital
1221,Ies Oaxaca,lic. en psicologia,humanidades,semi presencial,10,2024-09-01,Lachixio
1222,Instituto Superior,lic. en educacion,ingenieria,virtual,10,2024-01-11,Tlacolula
1223,Centro De Estudios,lic en enfermeria,ciencias sociales,presencial,6,2024-03-11,juarez
1224,Instituto Tecnologico,lic. en turismo,economia,presencial,6,2024-12-18,juarez
1225,Tecnologica Del Valle,administracion de empresas,administracion,virtual,6,2024-09-05,juarez
1226,Conalep,ingenieria en sistemas computacionales,educacion,semi presencial,8,2024-01-11,Pochutla
1227,Univers. Autonoma,ingenieria electronica,educacion,virtual,8,2024-07-23,oaxaca capital
1228,Instituto Superior,contabilidad,administracion,virtual,10,2024-12-09,juarez
1229,Uabjo,lic. en economia,economia,semi presencial,6,2024-11-12,Lachixio
1230,Centro De Estudios,lic. en educacion,ciencias sociales,presencial,10,2024-11-21,Pochutla
1231,Centro De Estudios,lic. en comunicacion,salud,semi presencial,8,2024-03-13,Tlacolula
1232,Tebacsso,lic. en economia,salud,presencial,6,2024-08-09,Lachixio
1233,Ujat,administracion de empresas,salud,virtual,10,2024-10-23,Pochutla
1234,Tecnologica Del Valle,ingenieria civil,derecho,presencial,10,2024-10-28,Salina Cruz
1235,Conalep,lic. en filosofia,humanidades,presencial,6,2024-07-03,oaxaca capital
1236,Conalep,lic. en turismo,derecho,presencial,6,2024-07-02,Xoxocotlan
1237,Uabjo,tec en mecanica,economia,virtual,6,2024-05-11,oaxaca capital
1238,Uabjo,lic. en biologia,salud,virtual,6,2024-07-16,Tlacolula
1239,Colegio De Bachilleres,contabilidad,humanidades,semi presencial,8,2024-12-21,Pochutla
1240,Cecyte,diseño grafico,tecnologia,semi presencial,6,2024-12-08,Salina Cruz
1241,Ujat,ingenieria en sistemas computacionales,tecnologia,semi presencial,6,2024-03-28,Salina Cruz
1242,Cecyte,tec. en informatica,derecho,virtual,8,2024-08-06,oaxaca capital
1243,Instituto Superior,lic. en educacion,ciencias sociales,virtual,10,2024-01-24,Ixtlan
1244,Cecyte,lic. en derecho,artes,semi presencial,8,2024-02-04,Ixtlan
1245,Tebacsso,tec. en electronica,ciencias sociales,semi presencial,8,2024-03-15,Tlacolula
1246,Escuela Normal,administracion de empresas,salud,virtual,10,2024-03-30,Tlacolula
1247,Univers. Autonoma,lic. en comunicacion,salud,virtual,8,2024-08-19,Tlacolula
1248,Ies Oaxaca,tec. en electronica,ingenieria,semi presencial,8,2024-06-18,oaxaca capital
1249,Ujat,tec. en electronica,humanidades,presencial,8,2024-11-15,juarez
1250,Conalep,administracion de empresas,salud,semi presencial,8,2024-06-18,juarez
1251,Uabjo,ingenieria electronica,economia,presencial,6,2024-09-07,oaxaca capital
1252,Conalep,lic. en educacion,ingenieria,semi presencial,8,2024-03-27,oaxaca capital
1253,Tecnologica Del Valle,contabilidad,economia,presencial,6,2024-07-10,Huajuapan
1254,Uabjo,lic. en derecho,ingenieria,presencial,8,2024-12-31,Pochutla
1255,Tecnologica Del Valle,diseño grafico,salud,presencial,6,2024-09-29,Tlacolula
1256,Tecnologica Del Valle,administracion de empresas,salud,presencial,8,2024-02-10,Ixtlan
1257,Conalep,ingenieria en sistemas computacionales,salud,presencial,8,2024-03-22,oaxaca capital
1258,Cecyte,tec. en electronica,administracion,virtual,8,2024-03-13,Xoxocotlan
1259,Instituto Superior,ingenieria en sistemas computacionales,artes,semi presencial,10,2024-04-06,Ixtlan
1260,Univers. Autonoma,lic. en educacion,ciencias sociales,presencial,10,2024-05-05,Lachixio
1261,Ies Oaxaca,lic. en psicologia,salud,virtual,6,2024-06-30,Pochutla
1262,Instituto Tecnologico,ingenieria electronica,economia,virtual,8,2024-10-26,Salina Cruz
1263,Tecnologica Del Valle,diseño grafico,humanidades,presencial,10,2024-08-20,Etla
1264,Uabjo,ingenieria civil,humanidades,presencial,6,2024-12-30,Xoxocotlan
1265,Escuela Normal,lic. en comunicacion,economia,virtual,6,2024-08-18,juarez
1266,Ies Oaxaca,ingenieria electronica,salud,semi presencial,8,2024-11-07,juarez
1267,Ujat,diseño grafico,artes,presencial,10,2024-03-25,juarez
1268,Ujat,contabilidad,economia,presencial,8,2024-03-03,Tlacolula
1269,Instituto Tecnologico,lic. en psicologia,ingenieria,virtual,10,2024-03-09,Tlacolula
1270,Ies Oaxaca,lic. en derecho,tecnologia,presencial,8,2024-11-12,oaxaca capital
1271,Centro De Estudios,ingenieria civil,ingenieria,presencial,6,2024-06-02,Salina Cruz
1272,Univers. Autonoma,tec. en informatica,ingenieria,presencial,8,2024-10-22,Ixtlan
1273,Centro De Estudios,lic. en derecho,economia,presencial,10,2024-02-11,Tlacolula
1274,Tebacsso,lic. en psicologia,ciencias sociales,virtual,6,2024-06-16,oaxaca capital
1275,Instituto Tecnologico,ingenieria civil,derecho,presencial,10,2024-12-11,Xoxocotlan
1276,Colegio De Bachilleres,lic. en biologia,ciencias sociales,presencial,6,2024-09-29,Etla
1277,Ujat,lic en enfermeria,derecho,presencial,8,2024-07-26,Huajuapan
1278,Tebacsso,tec. en electronica,derecho,virtual,10,2024-10-02,juarez
1279,Conalep,administracion de empresas,educacion,virtual,10,2024-09-23,Tlacolula
1280,Tecnologica Del Valle,lic. en educacion,educacion,virtual,8,2024-12-26,Ixtlan
1281,Univers. Autonoma,lic. en psicologia,economia,semi presencial,8,2024-04-15,Etla
1282,Escuela Normal,lic. en turismo,derecho,virtual,10,2024-10-01,oaxaca capital
1283,Escuela Normal,lic. en turismo,artes,presencial,10,2024-05-03,Ixtlan
1284,Cecyte,tec en mecanica,ingenieria,presencial,8,2024-03-05,Salina Cruz
1285,Centro De Estudios,ingenieria civil,administracion,virtual,8,2024-07-28,Tlacolula
1286,Ies Oaxaca,tec. en electronica,derecho,semi presencial,6,2024-03-12,Salina Cruz
1287,Instituto Tecnologico,tec. en electronica,salud,virtual,10,2024-10-27,Salina Cruz
1288,Uabjo,tec en mecanica,artes,presencial,6,2024-07-29,Huajuapan
1289,Escuela Normal,ingenieria electronica,tecnologia,virtual,6,2024-06-10,Ixtlan
1290,Ies Oaxaca,administracion de empresas,economia,virtual,6,2024-08-02,Tlacolula
